,customer_id,item_id,bill_number,quantity,spend_value,purchase_date,file_name
0,75016730,195001487,913910,1,26.25,7/25/2018,September
2,75013356,103000083A00,16071214,1,40.0,7/27/2018,October
3,75016723,170001099,3050986,1,47.25,7/28/2018,November
4,75016721,116001464,5112327,1,26.25,7/29/2018,December
5,75016760,109000338A00,24886977,1,7.632000000000001,7/30/2018,January
6,75016760,109000039,5706153,1,95.4,7/31/2018,February
7,75016760,109000046,5705866,1,97.30799999999999,8/1/2018,March
8,75016723,170001096,3049804,1,10.5,8/2/2018,April
9,75016730,195001487,914180,1,26.25,8/3/2018,May
10,75016723,170000101,3050960,1,2.0979,8/4/2018,June
11,75016760,109000039,5706191,1,95.4,8/5/2018,July
12,75016760,171000843,5706502,1,9.54,8/6/2018,August
13,75013360,188000073A00,1450621,1,25.0,8/7/2018,September
14,75013384,161000019C00,351212,1,15.0,8/8/2018,October
15,75014283,193000071A00,1280544,1,7.5,8/9/2018,November
16,75013804,112000247,6804157,1,5.0,8/10/2018,December
17,75013376,118000098A00,7735480,1,14.0,8/11/2018,January
18,75013666,173000024A00,1423692,1,12.0,8/12/2018,February
19,75013360,188000100C00,1449939,1,7.0,8/13/2018,March
20,75016760,146,24886049,1,15.264000000000001,8/14/2018,April
21,75016773,192000029A00,494412,1,5.55,8/15/2018,May
22,75016723,170001099,3049337,1,47.25,8/16/2018,June
23,75016767,197000035A00,319497,1,15.264000000000001,8/17/2018,July
24,75013384,101000014A00,20365873,1,15.0,8/18/2018,August
25,75013801,189000119,558346,1,5.0,8/19/2018,September
27,75013374,104000126A00,23134506,1,5.0,8/21/2018,November
28,75016723,170001099,3049374,1,47.25,8/22/2018,December
29,75016769,187001246,7089617,1,10.714,8/23/2018,January
30,75016723,170001098,3049564,1,26.25,8/24/2018,February
31,75013384,161000013A00,351221,1,10.0,8/25/2018,March
32,75014283,193000117A00,1281974,1,35.0,8/26/2018,April
33,75013801,189000062A00,3233602,1,8.0,8/27/2018,May
36,75013374,104000125A00,23135049,1,17.0,8/30/2018,August
37,75016751,165000178A00,12190606,1,6.24,8/31/2018,September
38,75016723,170001096,3049311,1,10.5,9/1/2018,October
39,75013384,172000001D00,351207,1,11.5,9/2/2018,November
40,75013356,103000059A00,16072980,1,12.0,9/3/2018,December
41,75019730,10111610,158908-123,1,33.33,9/4/2018,January
42,75018489,404,417239,1,30.0,9/5/2018,February
43,75016912,10200103,27326-106,4,36.834,9/6/2018,March
44,75016726,115000222A00,16561176,1,1.89,9/7/2018,April
45,75016721,116001463,5113207,1,47.25,9/8/2018,May
46,75016771,186000042B00,1367700,1,6.818,9/9/2018,June
47,75016721,116001462,5113204,1,73.5,9/10/2018,July
49,75013376,118000148A00,7736665,1,25.0,9/12/2018,September
51,75016721,116000083,5113263,1,2.1,9/14/2018,November
52,75016912,101101012,27257-106,1,71.232,9/15/2018,December
53,75016773,192000054A00,494881,1,4.81,9/16/2018,January
54,75013356,103000011A00,16072386,1,6.5,9/17/2018,February
55,75013374,104000170A00,23132719,1,20.0,9/18/2018,March
56,75016751,165000191A00,12194105,1,9.0,9/19/2018,April
58,75016760,109000345B00,24888099,1,6.678,9/21/2018,June
59,75016745,163000184A00,6286271,1,6.74895,9/22/2018,July
61,75013801,189000119,558415,1,5.0,9/24/2018,September
62,75016760,109000406A00,24885962,1,8.586,9/25/2018,October
63,75013374,104000170B00,23132408,1,20.0,9/26/2018,November
